"region","year","spei"
"Midwest",1976,-1.31052251638864
"Midwest",1977,0.409798898936465
"Midwest",1978,-0.151759615566377
"Midwest",1979,0.350911265033623
"Midwest",1980,-0.786810948215081
"Midwest",1981,0.000218306264460794
"Midwest",1982,0.981317491340586
"Midwest",1983,0.119681398023794
"Midwest",1984,0.275376987363243
"Midwest",1985,0.546933796517173
"Midwest",1986,0.497178836885198
"Midwest",1987,-0.653070648377859
"Midwest",1988,-1.29151234890023
"Midwest",1989,-0.70326223012788
"Midwest",1990,0.370084196843625
"Midwest",1991,-0.103403876618983
"Midwest",1992,0.451912911529527
"Midwest",1993,1.60504888316707
"Midwest",1994,-0.192057933384029
"Midwest",1995,0.398073178114134
"Midwest",1996,0.726242051969072
"Midwest",1997,-0.0203851522983401
"Midwest",1998,0.183279597006542
"Midwest",1999,-0.121115890826088
"Midwest",2000,-0.154955850020124
"Midwest",2001,-0.0807393150294631
"Midwest",2002,-0.370390878374318
"Midwest",2003,-0.407757573754344
"Midwest",2004,0.495420996364926
"Midwest",2005,-0.30822731362391
"Midwest",2006,-0.485585849905139
"Midwest",2007,-0.00802324511344085
"Midwest",2008,1.02436469626523
"Midwest",2009,0.76480631909632
"Midwest",2010,0.315944688301318
"Midwest",2011,0.325642925880464
"Midwest",2012,-1.48986258532987
"Midwest",2013,0.768457245355236
"Midwest",2014,0.512003333193045
"Midwest",2015,0.456493602317293
"Midwest",2016,0.0553014648371411
"Midwest",2017,0.0299725503088524
"Midwest",2018,0.767011422320489
"Midwest",2019,1.75864871717214
"Midwest",2020,-0.285876589827597
"Midwest",2021,-0.612884807168631
"Midwest",2022,-0.492676940704047
"Midwest",2023,-0.454538743265106
"Midwest",2024,-0.298874966884272
"Midwest",2025,-0.369452257136551
"Northeast",1976,0.822051972023789
"Northeast",1977,1.00356419875232
"Northeast",1978,-0.326824503365125
"Northeast",1979,0.778337888583177
"Northeast",1980,-0.927946305706571
"Northeast",1981,0.0819230519133413
"Northeast",1982,-0.623070896665372
"Northeast",1983,1.18115029301066
"Northeast",1984,0.363430608111369
"Northeast",1985,-0.619882607981362
"Northeast",1986,0.330043531093362
"Northeast",1987,-0.546906914733967
"Northeast",1988,-0.981094381953078
"Northeast",1989,0.297501262312426
"Northeast",1990,1.27281692361729
"Northeast",1991,-0.930207589817477
"Northeast",1992,0.0649225984781524
"Northeast",1993,0.0918860662841099
"Northeast",1994,0.181157612336705
"Northeast",1995,-0.676742261065421
"Northeast",1996,1.9453360620633
"Northeast",1997,-0.241884758791032
"Northeast",1998,-0.303165034349139
"Northeast",1999,-0.444963860527244
"Northeast",2000,0.376703195276515
"Northeast",2001,-1.68870618665829
"Northeast",2002,-0.025053445098414
"Northeast",2003,1.21453149403468
"Northeast",2004,0.457270745989667
"Northeast",2005,0.955685560531816
"Northeast",2006,1.03491841338228
"Northeast",2007,0.304919617435257
"Northeast",2008,1.28450447800099
"Northeast",2009,0.45102632308565
"Northeast",2010,-0.0652239087318503
"Northeast",2011,1.86269920003079
"Northeast",2012,-0.543558746333282
"Northeast",2013,0.0970097712521189
"Northeast",2014,0.353650080190005
"Northeast",2015,-0.51367699459504
"Northeast",2016,-1.01637692265332
"Northeast",2017,0.419394414055284
"Northeast",2018,1.47215161788994
"Northeast",2019,1.11773222842857
"Northeast",2020,-0.610189082857383
"Northeast",2021,-0.0913136756620164
"Northeast",2022,0.0432318446701504
"Northeast",2023,0.713136278521542
"Northeast",2024,-0.312269598874282
"Northeast",2025,-0.828208595873131
"South",1976,0.277154720949229
"South",1977,-0.391812629598627
"South",1978,-0.210813053397948
"South",1979,1.20152590772706
"South",1980,-0.518049198544549
"South",1981,-0.295945687875696
"South",1982,0.394082024134106
"South",1983,0.550351812519162
"South",1984,0.160541498185297
"South",1985,-0.0102977212695696
"South",1986,-0.29205429965763
"South",1987,0.0643009531483576
"South",1988,-0.476501741281785
"South",1989,0.607929599275648
"South",1990,0.234293565366393
"South",1991,0.681263227047217
"South",1992,0.666312148045321
"South",1993,0.0167399540257534
"South",1994,0.445359400498548
"South",1995,0.167019357796948
"South",1996,0.357021025527266
"South",1997,0.689937579935873
"South",1998,-0.2431721850222
"South",1999,-0.667906382567742
"South",2000,-0.663842251831069
"South",2001,-0.249797747890068
"South",2002,0.191341437221888
"South",2003,0.377106129838403
"South",2004,0.870231890696249
"South",2005,-0.56902982892431
"South",2006,-0.595759370857477
"South",2007,-0.490222657212634
"South",2008,-0.100602905974975
"South",2009,0.631701392137074
"South",2010,-0.688449676570207
"South",2011,-0.999279818950632
"South",2012,-0.852803138335023
"South",2013,0.546383791895867
"South",2014,-0.0565850438313933
"South",2015,0.901742368148743
"South",2016,-0.412577181568313
"South",2017,-0.027239737348504
"South",2018,0.901235227754293
"South",2019,0.117456663904851
"South",2020,0.556413196035389
"South",2021,0.0705069003367423
"South",2022,-0.559303493282424
"South",2023,-0.724062706815031
"South",2024,-0.311843262084847
"South",2025,-0.576794275411393
"West",1976,-0.5154859777938
"West",1977,-0.46389736351061
"West",1978,0.645738391850805
"West",1979,-0.322886714610995
"West",1980,0.287236494956251
"West",1981,-0.0989203838650067
"West",1982,1.22307282807558
"West",1983,1.32154492533894
"West",1984,0.478803204998111
"West",1985,-0.327136184150364
"West",1986,0.136704954663379
"West",1987,-0.44569559556311
"West",1988,-0.87766480139612
"West",1989,-0.837245046544743
"West",1990,-0.472935524914791
"West",1991,0.119551650782044
"West",1992,-0.443554321126386
"West",1993,0.697843303362085
"West",1994,-0.841871522892558
"West",1995,0.827279451193025
