"region","year","spei"
"West",1996,0.291851512479635
"West",1997,0.169189390598196
"West",1998,0.75073687547087
"West",1999,-0.331632493045417
"West",2000,-0.84245861991368
"West",2001,-1.10436727535167
"West",2002,-1.12179744447525
"West",2003,-0.996131009471903
"West",2004,-0.317299818953673
"West",2005,0.0799567981116972
"West",2006,-0.435963312132935
"West",2007,-1.05619068665312
"West",2008,-0.498280474865143
"West",2009,-0.545465867457271
"West",2010,0.555082132756317
"West",2011,-0.1203993898989
"West",2012,-1.10807094905617
"West",2013,-0.833852223243787
"West",2014,-0.43461592910197
"West",2015,-0.654990286567701
"West",2016,-0.524031578449159
"West",2017,-0.509256035986686
"West",2018,-0.902585120741935
"West",2019,0.316928778690174
"West",2020,-1.55114006480936
"West",2021,-1.22497285246676
"West",2022,-0.907884379964961
"West",2023,-0.314065245647107
"West",2024,-0.945373681568302
"West",2025,-1.08549983605113
